aX,aY,aZ,gX,gY,gZ
0.5,-1.497,0.509,-15.19,18.69,-179.34
0.651,-0.656,2.08,155.68,-72.31,-135.24
0.61,-1.234,0.113,269.92,-60.48,-140.14
0.667,-1.477,0.797,177.1,-77.77,-145.74
0.729,-1.427,0.528,210.21,-83.51,-149.73
0.687,-1.263,0.793,182.35,-102.13,-141.33
0.604,-1.383,0.813,148.4,-119.84,-146.79
0.588,-1.308,0.641,135.8,-127.54,-157.01
0.575,-1.234,0.879,110.88,-135.66,-162.12
0.638,-1.185,0.807,125.58,-134.4,-163.73
0.701,-1.127,0.636,154.98,-130.55,-168.28
0.681,-1.128,0.744,155.96,-132.72,-168.98
0.635,-1.137,0.656,167.65,-128.03,-167.09
0.577,-1.099,0.913,165.13,-123.06,-174.72
0.56,-1.034,0.917,141.82,-126.49,-177.45
0.58,-0.948,0.889,147.77,-130.34,-173.39
0.535,-0.954,0.962,147.98,-137.62,-167.02
0.553,-0.867,1.032,144.69,-152.95,-159.74
0.569,-0.775,1.034,142.59,-172.69,-149.38
0.591,-0.697,0.902,159.25,-187.6,-134.4
0.499,-0.687,0.986,155.61,-204.47,-123.83
0.488,-0.717,1.002,139.65,-221.13,-124.88
0.507,-0.762,0.861,137.97,-227.64,-130.62
0.486,-0.732,0.796,146.65,-223.58,-136.08
0.481,-0.77,0.803,176.61,-217.42,-143.78
0.481,-0.823,0.792,192.64,-214.62,-161.98
0.435,-0.789,0.765,213.78,-217.28,-171.64
0.376,-0.737,0.772,222.25,-227.36,-175.7
0.317,-0.645,0.781,222.04,-243.32,-178.15
0.135,-0.469,0.508,223.86,-258.23,-175.63
0.18,-0.357,0.516,215.18,-274.19,-163.87
0.072,-0.347,0.454,196.7,-282.73,-149.52
0.012,-0.303,0.394,180.6,-292.11,-136.99
0.023,-0.19,0.256,183.05,-304.08,-122.64
0.02,-0.163,0.174,186.9,-315.14,-107.45
-0.037,-0.204,0.024,178.43,-318.01,-93.17
-0.079,-0.212,-0.104,174.23,-312.76,-88.27
-0.07,-0.184,-0.136,162.47,-307.86,-84.91
-0.078,-0.224,-0.203,152.67,-296.38,-86.24
-0.115,-0.207,-0.224,145.95,-287.0,-87.85
-0.053,-0.112,-0.344,158.34,-276.36,-82.46
-0.06,0.091,-0.301,162.61,-272.44,-67.69
-0.028,0.025,-0.227,156.31,-273.49,-59.85
-0.084,-0.012,-0.159,158.2,-279.23,-57.4
-0.075,0.031,-0.046,144.83,-288.47,-51.66
-0.052,0.062,-0.022,128.24,-302.75,-39.83
-0.064,0.017,0.039,120.12,-316.19,-29.05
-0.08,0.007,0.165,91.84,-339.64,-16.73
-0.19,-0.203,0.004,94.85,-363.16,-12.39
-0.29,-0.388,-0.138,134.54,-384.86,-18.69
-0.376,-0.723,-0.274,147.21,-406.28,-38.5
-0.473,-0.971,-0.394,145.46,-429.8,-73.78
-0.645,-1.202,-0.57,131.88,-460.6,-123.83
-1.024,-1.398,-0.796,107.31,-473.41,-180.88
-1.439,-1.518,-1.606,132.3,-444.78,-229.39
-1.889,-1.396,-3.339,320.46,-320.25,-246.75
-2.29,-1.29,-4.33,398.72,-150.5,-213.64
-1.87,-1.017,-4.387,328.3,-58.17,-143.57
-1.043,-0.771,-4.312,209.16,-50.12,-65.52
-0.814,-0.499,-4.367,107.8,-53.69,-4.48
-0.566,-0.237,-4.072,3.92,-25.34,37.24
-0.569,-0.394,-3.269,-147.63,30.38,68.25
-0.43,-0.302,-2.096,-229.6,66.57,94.43
-0.29,-0.285,-0.918,-295.54,65.31,106.82
-0.2,-0.3,-0.268,-270.9,55.65,98.7
0.137,-0.225,-0.055,-182.07,31.64,89.32
0.502,-0.212,0.02,-95.83,20.58,77.77
0.621,-0.405,-0.128,-57.68,16.94,49.56
0.705,-0.513,-0.465,-26.74,20.93,13.44
0.663,-0.515,-0.77,3.57,29.68,-18.34
0.559,-0.48,-1.022,13.51,39.55,-42.07
0.396,-0.45,-1.254,3.36,52.92,-64.75
0.19,-0.422,-1.497,-2.1,68.32,-71.19
0.018,-0.419,-1.628,-4.48,80.01,-67.83
-0.158,-0.407,-1.838,-7.56,95.41,-57.33
-0.209,-0.43,-1.971,-15.96,113.75,-45.01
-0.256,-0.445,-2.08,-32.9,129.57,-34.02
-0.231,-0.446,-2.067,-60.06,146.37,-23.8
-0.217,-0.474,-2.034,-77.98,162.75,-23.52
-0.182,-0.487,-1.95,-87.15,181.16,-29.05
-0.159,-0.477,-1.819,-91.14,198.38,-35.77
-0.155,-0.445,-1.611,-97.86,218.4,-41.58
-0.147,-0.4,-1.431,-110.11,231.07,-45.43
-0.15,-0.328,-1.289,-129.43,239.12,-46.83
-0.179,-0.288,-1.162,-135.1,246.33,-40.67
-0.189,-0.2,-0.994,-128.24,248.36,-31.64
-0.173,-0.147,-0.885,-126.84,245.98,-22.82
-0.091,-0.144,-0.652,-151.13,242.62,-14.42
-0.08,-0.084,-0.687,-173.95,238.28,-5.67
-0.062,-0.079,-0.657,-180.74,239.33,9.66
-0.041,-0.096,-0.619,-182.63,241.85,19.88
-0.008,-0.122,-0.565,-183.61,244.16,27.16
0.018,-0.123,-0.497,-175.07,246.61,35.21
0.05,-0.158,-0.415,-171.78,248.36,42.56
0.08,-0.172,-0.343,-164.92,250.11,47.6
0.123,-0.163,-0.26,-154.63,250.18,52.92
0.161,-0.142,-0.202,-150.64,249.48,57.82
0.195,-0.113,-0.068,-176.4,245.07,66.22
0.225,-0.046,0.072,-174.72,234.36,74.97
0.224,0.016,0.197,-180.74,219.94,86.17
0.217,0.087,0.308,-185.36,203.14,102.13
0.209,0.146,0.479,-203.42,179.41,125.02
0.213,0.148,0.521,-210.77,156.66,146.44
0.216,0.073,0.494,-204.12,142.66,163.38
0.324,-0.088,0.396,-182.77,142.1,174.02
0.453,-0.234,0.311,-150.78,156.17,180.67
0.59,-0.529,0.376,-133.49,172.06,170.31
0.65,-0.77,0.373,-117.6,183.68,150.57
0.842,-0.831,0.282,-87.36,213.29,123.41
0.888,-0.794,0.215,-70.56,209.23,102.41
0.934,-0.615,0.218,-79.59,213.5,90.51
0.82,-0.459,0.181,-87.15,210.7,85.12
0.721,-0.347,0.185,-89.6,201.11,85.05
0.66,-0.298,0.184,-105.91,191.94,89.6
0.622,-0.285,0.098,-122.57,190.26,92.82
0.568,-0.346,0.023,-127.89,198.38,94.08
0.55,-0.426,0.093,-138.95,209.93,92.4
0.547,-0.493,0.19,-153.02,222.11,86.59
0.527,-0.55,0.329,-154.63,231.77,79.38
0.675,-0.766,1.119,-89.39,109.13,122.15
0.757,-0.875,1.071,-88.62,103.11,114.8
0.781,-0.918,0.981,-81.83,100.45,105.28
0.778,-0.908,0.891,-84.91,99.96,96.88
0.773,-0.886,0.785,-92.12,98.49,90.44
0.747,-0.871,0.684,-94.64,95.97,86.31
0.722,-0.851,0.604,-89.18,92.05,81.97
0.69,-0.858,0.623,-62.65,94.15,79.31
0.71,-0.894,0.577,-38.99,101.22,77.77
0.735,-0.915,0.703,-23.73,106.12,73.64
