aX,aY,aZ,gX,gY,gZ
-0.258,-2.29,-0.237,-123.06,-16.87,-280.56
-0.44,-2.187,-0.354,-100.1,-27.09,-366.45
-0.318,-1.664,0.391,22.61,-94.36,-399.91
-0.091,-1.304,0.675,22.75,-163.8,-424.13
-0.004,-0.746,0.558,-10.43,-215.53,-404.81
0.104,-0.261,-0.114,-6.16,-223.65,-326.34
0.222,0.111,-0.462,7.49,-195.86,-272.23
0.359,0.056,-0.581,-8.54,-153.58,-223.44
0.361,-0.075,-0.625,16.52,-124.67,-178.99
0.429,0.194,-0.294,61.74,-120.75,-115.99
0.582,-0.122,0.122,4.41,-131.32,-90.93
0.671,-0.514,0.017,38.99,-124.39,-96.67
0.798,-0.813,0.174,56.91,-82.11,-98.0
0.773,-0.779,-0.068,73.22,-71.68,-91.35
0.585,-0.866,-0.16,14.42,-54.81,-119.56
0.432,-1.345,-0.246,79.17,-53.2,-183.4
0.534,-0.793,-0.205,-11.48,-42.91,-196.0
0.621,0.105,-0.572,99.4,-26.11,-135.66
0.805,-0.726,0.25,-94.85,-22.96,-168.91
0.687,-0.784,-0.128,-28.42,-34.3,-178.57
0.64,-0.577,-0.641,98.14,-38.64,-167.51
0.699,-0.912,-0.835,106.89,-31.36,-172.41
0.726,-0.453,-0.571,77.0,-22.89,-173.46
0.638,-0.974,0.003,22.47,-26.18,-176.4
0.758,0.614,-0.283,49.7,-17.57,-110.39
0.751,-1.349,0.549,-46.9,-46.62,-191.8
0.638,-0.882,0.349,-28.77,-85.82,-202.86
1.011,1.457,-0.615,60.55,-55.09,-75.11
0.936,-0.082,-0.105,14.07,-63.21,-76.93
0.86,-0.924,-0.365,-34.23,-72.38,-105.49
0.873,-0.23,-0.481,-56.0,-65.59,-101.01
0.842,-0.067,-0.332,-77.98,-61.81,-93.03
0.836,-0.008,-0.326,-81.62,-57.05,-87.71
0.822,-0.052,-0.315,-83.09,-54.6,-85.33
0.797,0.008,-0.313,-84.14,-53.9,-77.56
0.792,0.026,-0.312,-70.49,-56.49,-62.58
0.825,0.015,-0.3,-72.59,-59.71,-52.08
